SMT: SF01X
  
Freq. Resxy Fasxy  
330.0000 48.68 36.87
215.0000 54.34 41.02
122.0703 45.91 39.10
85.9375 52.56 39.30
60.0586 86.70 37.86
41.5039 59.65 43.50
28.3203 65.33 42.08
19.0430 67.24 43.76
12.2070 68.79 45.60
6.8945 58.78 51.03
4.8828 52.42 47.65
3.4375 47.29 42.68
2.4023 54.22 37.19
1.6602 59.58 33.42
1.1328 74.34 33.93
0.7617 82.33 23.76
0.4883 111.59 15.04
0.3447 93.71 16.64
0.2441 103.20 18.50
0.1719 117.51 19.09
0.1201 161.60 28.27
0.0830 202.52 19.54
0.0566 282.43 26.63
0.0381 324.33 25.10
0.0244 366.46 26.34
0.0146 318.93 38.25
0.0098 428.90 41.60
